Frequency (Hz)	Level (dB)
86.132813	-76.579010
172.265625	-77.431870
258.398438	-77.407059
344.531250	-77.614334
430.664063	-79.821587
516.796875	-80.172768
602.929688	-78.619308
689.062500	-77.901009
775.195313	-78.252068
861.328125	-78.354904
947.460938	-79.662079
1033.593750	-81.049141
1119.726563	-82.673637
1205.859375	-81.232925
1291.992188	-80.385498
1378.125000	-80.471428
1464.257813	-81.993095
1550.390625	-81.085930
1636.523438	-81.008171
1722.656250	-79.830917
1808.789063	-79.690659
1894.921875	-79.307106
1981.054688	-82.522911
2067.187500	-80.584969
2153.320313	-78.529861
2239.453125	-78.884880
2325.585938	-78.585007
2411.718750	-77.425774
2497.851563	-78.324738
2583.984375	-78.626015
2670.117188	-73.505630
2756.250000	-67.709747
2842.382813	-63.420986
2928.515625	-61.368298
3014.648438	-51.518116
3100.781250	-41.372742
3186.914063	-38.766117
3273.046875	-37.184181
3359.179688	-32.775959
3445.312500	-27.975176
3531.445313	-29.513786
3617.578125	-29.087576
3703.710938	-30.418062
3789.843750	-38.940403
3875.976563	-40.217857
3962.109375	-48.156769
4048.242188	-47.706467
4134.375000	-50.170780
4220.507813	-52.425991
4306.640625	-52.087914
4392.773438	-46.246086
4478.906250	-44.493320
4565.039063	-39.899723
4651.171875	-36.378849
4737.304688	-34.478271
4823.437500	-33.296726
4909.570313	-37.462887
4995.703125	-49.022182
5081.835938	-54.737846
5167.968750	-54.086159
5254.101563	-54.104034
5340.234375	-54.958721
5426.367188	-56.555489
5512.500000	-54.977917
5598.632813	-62.136425
5684.765625	-56.622807
5770.898438	-57.389305
5857.031250	-57.761391
5943.164063	-55.667553
6029.296875	-54.726189
6115.429688	-55.103191
6201.562500	-53.831776
6287.695313	-50.239906
6373.828125	-50.851074
6459.960938	-49.787216
6546.093750	-49.567833
6632.226563	-50.125095
6718.359375	-48.981270
6804.492188	-49.999203
6890.625000	-54.579941
6976.757813	-58.936672
7062.890625	-57.774235
7149.023438	-58.806118
7235.156250	-68.559929
7321.289063	-63.459126
7407.421875	-62.037151
7493.554688	-67.740196
7579.687500	-71.616219
7665.820313	-71.135269
7751.953125	-69.019997
7838.085938	-61.576687
7924.218750	-62.665524
8010.351563	-71.820305
8096.484375	-75.068008
8182.617188	-72.430862
8268.750000	-76.725433
8354.882813	-72.810471
8441.015625	-71.052628
8527.148438	-77.826958
8613.281250	-78.686356
8699.414063	-72.699966
8785.546875	-69.665970
8871.679688	-74.117012
8957.812500	-72.191231
9043.945313	-73.575203
9130.078125	-70.210258
9216.210938	-69.763824
9302.343750	-68.611351
9388.476563	-67.920891
9474.609375	-64.978889
9560.742188	-65.725662
9646.875000	-63.973259
9733.007813	-63.722099
9819.140625	-66.930107
9905.273438	-69.562637
9991.406250	-71.299416
10077.539063	-71.061134
10163.671875	-70.762749
10249.804688	-73.623482
10335.937500	-73.312981
10422.070313	-68.482391
10508.203125	-67.785362
10594.335938	-71.959663
10680.468750	-70.682213
10766.601563	-70.159126
10852.734375	-70.705391
10938.867188	-71.397888
11025.000000	-75.765770
11111.132813	-75.238861
11197.265625	-74.513206
11283.398438	-81.523750
11369.531250	-86.671242
11455.664063	-83.083061
11541.796875	-79.266624
11627.929688	-79.527260
11714.062500	-79.393929
11800.195313	-76.962296
11886.328125	-76.564125
11972.460938	-79.445190
12058.593750	-78.460350
12144.726563	-75.292175
12230.859375	-74.177338
12316.992188	-73.539734
12403.125000	-73.251770
12489.257813	-77.495277
12575.390625	-78.836258
12661.523438	-77.454308
12747.656250	-77.445595
12833.789063	-78.446930
12919.921875	-77.627335
13006.054688	-76.288261
13092.187500	-75.995987
13178.320313	-76.839363
13264.453125	-77.844307
