Frequency (Hz)	Level (dB)
86.132813	-81.986725
172.265625	-79.901863
258.398438	-75.850700
344.531250	-71.934319
430.664063	-70.713287
516.796875	-68.887947
602.929688	-66.540688
689.062500	-64.237206
775.195313	-64.601616
861.328125	-64.927704
947.460938	-65.175438
1033.593750	-65.347351
1119.726563	-64.891533
1205.859375	-61.887821
1291.992188	-56.855919
1378.125000	-55.623585
1464.257813	-53.491074
1550.390625	-51.847282
1636.523438	-51.411671
1722.656250	-49.109131
1808.789063	-47.411423
1894.921875	-45.617748
1981.054688	-46.397053
2067.187500	-44.760284
2153.320313	-37.225895
2239.453125	-34.154034
2325.585938	-36.392540
2411.718750	-35.735519
2497.851563	-36.263676
2583.984375	-36.346878
2670.117188	-37.319298
2756.250000	-38.518314
2842.382813	-37.227325
2928.515625	-34.830013
3014.648438	-33.254471
3100.781250	-33.046425
3186.914063	-31.565731
3273.046875	-29.192165
3359.179688	-27.878998
3445.312500	-30.506634
3531.445313	-32.054344
3617.578125	-31.433899
3703.710938	-35.416500
3789.843750	-47.891197
3875.976563	-56.314522
3962.109375	-61.160992
4048.242188	-65.192024
4134.375000	-65.750183
4220.507813	-60.818787
4306.640625	-54.561283
4392.773438	-54.019028
4478.906250	-55.189842
4565.039063	-55.458462
4651.171875	-57.990627
4737.304688	-57.911572
4823.437500	-60.462017
4909.570313	-63.056259
4995.703125	-63.951622
5081.835938	-61.052589
5167.968750	-54.195286
5254.101563	-48.437508
5340.234375	-47.098576
5426.367188	-46.439148
5512.500000	-47.982964
5598.632813	-51.747719
5684.765625	-60.852150
5770.898438	-72.085091
5857.031250	-77.290115
5943.164063	-74.023445
6029.296875	-63.738529
6115.429688	-57.878227
6201.562500	-52.567909
6287.695313	-50.154045
6373.828125	-51.134487
6459.960938	-52.681637
6546.093750	-49.432926
6632.226563	-47.290070
6718.359375	-47.606438
6804.492188	-48.156609
6890.625000	-50.168526
6976.757813	-49.596416
7062.890625	-48.671967
7149.023438	-49.684727
7235.156250	-48.143387
7321.289063	-48.528679
7407.421875	-54.731216
7493.554688	-64.474922
7579.687500	-67.660156
7665.820313	-69.508926
7751.953125	-71.773308
7838.085938	-79.309723
7924.218750	-74.806717
8010.351563	-73.015648
8096.484375	-72.157730
8182.617188	-70.215446
8268.750000	-71.270241
8354.882813	-76.970543
8441.015625	-84.672867
8527.148438	-93.928642
8613.281250	-86.144333
8699.414063	-83.656319
8785.546875	-79.597542
8871.679688	-83.476753
8957.812500	-79.423134
9043.945313	-68.127579
9130.078125	-64.753471
9216.210938	-63.383030
9302.343750	-61.226231
9388.476563	-62.210373
9474.609375	-62.969246
9560.742188	-67.477013
9646.875000	-67.984978
9733.007813	-64.361099
9819.140625	-65.180969
9905.273438	-63.141178
9991.406250	-61.533024
10077.539063	-61.589043
10163.671875	-63.479336
10249.804688	-63.209679
10335.937500	-62.653812
10422.070313	-62.238552
10508.203125	-64.420975
10594.335938	-67.310387
10680.468750	-66.984474
10766.601563	-66.378304
10852.734375	-68.366745
10938.867188	-66.935524
11025.000000	-69.357361
11111.132813	-76.870110
11197.265625	-78.025299
11283.398438	-79.336784
11369.531250	-86.262794
11455.664063	-77.483543
11541.796875	-76.335251
11627.929688	-71.688713
11714.062500	-71.122169
11800.195313	-71.080887
11886.328125	-69.177048
11972.460938	-69.593506
12058.593750	-71.877579
12144.726563	-74.614449
12230.859375	-74.605927
12316.992188	-73.464241
12403.125000	-75.643845
12489.257813	-75.982430
12575.390625	-73.720970
12661.523438	-78.252045
12747.656250	-75.572968
12833.789063	-73.867027
12919.921875	-73.900963
13006.054688	-75.812027
13092.187500	-74.481567
13178.320313	-71.764977
13264.453125	-74.381859
13350.585938	-76.339233
13436.718750	-77.024002
13522.851563	-79.125450
13608.984375	-76.146828
13695.117188	-75.856712
13781.250000	-75.018456
13867.382813	-74.304298
13953.515625	-75.098213
14039.648438	-75.730904
14125.781250	-76.090340
14211.914063	-76.070602
14298.046875	-76.571609
14384.179688	-77.206566
14470.312500	-78.481140
14556.445313	-78.493904
14642.578125	-77.655167
14728.710938	-76.214256
14814.843750	-76.493607
14900.976563	-75.882698
14987.109375	-78.521111
15073.242188	-77.916321
15159.375000	-79.446548
15245.507813	-78.884071
15331.640625	-81.985985
15417.773438	-84.243599
15503.906250	-80.500824
15590.039063	-79.783531
15676.171875	-79.374275
15762.304688	-81.745689
15848.437500	-97.131294
15934.570313	-107.288597
16020.703125	-107.195648
16106.835938	-116.332001
16192.968750	-129.470230
16279.101563	-135.875946
16365.234375	-139.842850
16451.367188	-141.506424
16537.500000	-144.555359
16623.632813	-147.078445
16709.765625	-146.059799
16795.898438	-146.953430
16882.031250	-144.946228
16968.164063	-139.878448
17054.296875	-139.351929
17140.429688	-138.119019
17226.562500	-137.314392
17312.695313	-138.697037
17398.828125	-137.414169
17484.960938	-139.514359
17571.093750	-146.230820
17657.226563	-147.664307
17743.359375	-146.518295
17829.492188	-146.598312
17915.625000	-149.110107
18001.757813	-149.828293
18087.890625	-147.247849
18174.023438	-142.531998
18260.156250	-141.758041
18346.289063	-144.901062
18432.421875	-140.821991
18518.554688	-137.408066
18604.687500	-140.009430
18690.820313	-140.130661
18776.953125	-139.380753
18863.085938	-139.784515
18949.218750	-140.670715
19035.351563	-143.658218
19121.484375	-149.864517
19207.617188	-148.231354
19293.750000	-145.946991
19379.882813	-143.813339
19466.015625	-147.529373
19552.148438	-146.239517
19638.281250	-144.685593
19724.414063	-142.347794
19810.546875	-140.654572
19896.679688	-140.425369
19982.812500	-139.167984
20068.945313	-137.112000
20155.078125	-137.810501
20241.210938	-142.946182
20327.343750	-144.473953
20413.476563	-145.563553
20499.609375	-147.980911
20585.742188	-147.412064
20671.875000	-145.458344
20758.007813	-144.558701
20844.140625	-144.109192
20930.273438	-144.696991
21016.406250	-145.010483
21102.539063	-145.314590
21188.671875	-143.462479
21274.804688	-140.850922
21360.937500	-139.687210
21447.070313	-139.948532
21533.203125	-137.743225
21619.335938	-137.805984
21705.468750	-142.032104
21791.601563	-145.533203
21877.734375	-148.656982
21963.867188	-146.916199
