周波数 (Hz)	レベル (dB)
86.132813	-64.598991
172.265625	-79.510674
258.398438	-89.545799
344.531250	-85.762299
430.664063	-84.066223
516.796875	-82.406616
602.929688	-82.245506
689.062500	-80.466248
775.195313	-77.015778
861.328125	-76.378304
947.460938	-77.251602
1033.593750	-77.103783
1119.726563	-78.104424
1205.859375	-78.977592
1291.992188	-81.700829
1378.125000	-81.759186
1464.257813	-80.601837
1550.390625	-80.852715
1636.523438	-80.350357
1722.656250	-82.079987
1808.789063	-81.473091
1894.921875	-80.037827
1981.054688	-80.855782
2067.187500	-81.874939
2153.320313	-81.620872
2239.453125	-81.539154
2325.585938	-80.618301
2411.718750	-81.792526
2497.851563	-84.289474
2583.984375	-83.432304
2670.117188	-84.344849
2756.250000	-79.639931
2842.382813	-71.805054
2928.515625	-69.041779
3014.648438	-68.940903
3100.781250	-66.414665
3186.914063	-66.355255
3273.046875	-71.381569
3359.179688	-75.254814
3445.312500	-67.880890
3531.445313	-62.445629
3617.578125	-65.385979
3703.710938	-68.091812
3789.843750	-63.720539
3875.976563	-62.798817
3962.109375	-65.146523
4048.242188	-65.904449
4134.375000	-66.739769
4220.507813	-71.032372
4306.640625	-80.467400
4392.773438	-67.289047
4478.906250	-59.517628
4565.039063	-58.977131
4651.171875	-49.959667
4737.304688	-39.906601
4823.437500	-35.953403
4909.570313	-38.141788
4995.703125	-36.988251
5081.835938	-35.806705
5167.968750	-38.683945
5254.101563	-39.887314
5340.234375	-41.259296
5426.367188	-42.444660
5512.500000	-40.181969
5598.632813	-41.641056
5684.765625	-45.697739
5770.898438	-48.976505
5857.031250	-48.333126
5943.164063	-48.724258
6029.296875	-48.486454
6115.429688	-49.081970
6201.562500	-46.528835
6287.695313	-46.558094
6373.828125	-44.436337
6459.960938	-44.979038
6546.093750	-45.928501
6632.226563	-46.476444
6718.359375	-43.565098
6804.492188	-41.450455
6890.625000	-43.047394
6976.757813	-45.775719
7062.890625	-43.854500
7149.023438	-41.363007
7235.156250	-38.465759
7321.289063	-40.320789
7407.421875	-38.803116
7493.554688	-34.887486
7579.687500	-39.134186
7665.820313	-36.712757
7751.953125	-36.422913
7838.085938	-37.349270
7924.218750	-37.165760
8010.351563	-36.723991
8096.484375	-37.385876
8182.617188	-42.296936
8268.750000	-48.539536
8354.882813	-57.839909
8441.015625	-59.270245
8527.148438	-65.725967
8613.281250	-74.874588
8699.414063	-88.457581
8785.546875	-89.633423
8871.679688	-94.627617
8957.812500	-88.727875
9043.945313	-90.411865
9130.078125	-90.209023
9216.210938	-89.616302
9302.343750	-90.887039
9388.476563	-93.387375
9474.609375	-81.037521
9560.742188	-71.870262
9646.875000	-65.247093
9733.007813	-63.124531
9819.140625	-63.184525
9905.273438	-69.984756
9991.406250	-77.757927
10077.539063	-77.296524
10163.671875	-79.879524
10249.804688	-77.488380
10335.937500	-77.086464
10422.070313	-79.256790
10508.203125	-74.426842
10594.335938	-69.888985
10680.468750	-68.919991
